RUELLE_ID,lat_S1,lat_S2,lat_S3,long_S1,long_S2,long_S3
RPP-T-1000079,-399038.54170236294,-398982.2923493651,-399095.95483508025,185139.15679755586,185098.42450744074,185180.66494080477
RPP-I-1000033,-399094.7910553626,-399027.6797583368,-399161.514425818,185071.269647381,185022.3908992498,185120.92424864598
RPP-H-1000076,-398720.4419129881,-398669.6235320025,-398765.0534688149,185023.94260554077,184986.31372801823,185055.75258448476
RPP-H-1000104,-398663.4167068435,-398611.4345461405,-398711.90752839466,185100.36414030995,185061.9594096394,185134.88960524913
RPP-T-1000022,-398604.4518678373,-398545.87495540304,-398659.53744111845,185171.35470306178,185128.29485352474,185213.63869945865
RPP-T-1000081,-398538.8922770992,-398490.01352897554,-398597.8571161056,185246.22453153998,185200.0612694217,185288.12060135862
RPP-I-1000078,-399353.34411587426,-399304.8532943234,-399397.95567170286,184647.65383030323,184611.96458564067,184679.85173580277
RPP-I-1000021,-399075.2007634578,-399015.46007130644,-399136.88108847116,184549.1204809028,184503.73307193036,184594.11996329844
RPP-I-1000103,-399127.95877730503,-399063.17503971286,-399190.4149554628,184477.74199158052,184428.86324345358,184525.06903341296
RPP-L-1000051,-398847.8757920249,-398794.729851605,-398895.590760432,184377.6569358962,184338.08842551507,184413.7341071299
RPP-I-1000010b,-398568.18073331757,-398514.2589397524,-398631.4127646211,184167.7886602184,184127.83222326398,184214.72777548106
RPP-I-1000074,-398688.43797076534,-398633.74032405566,-398748.5665894885,184010.6783983889,183968.7823285674,184054.90202764363
RPP-T-1000075,-398794.72985160566,-398750.1182957782,-398844.3844528734,183854.34398970313,183821.3702310549,183892.7487203793
RPP-I-1000084,-398888.22015555715,-398826.92775711644,-398944.0815819838,183756.9744200275,183711.1990844839,183799.64634299124
RPP-I-1000036,-399059.6837005625,-399016.23592445254,-399114.7692738436,183685.20800412554,183652.62217204637,183726.7161473787
RPP-J-1000002,-399014.10232830327,-398977.63723049633,-399047.076086958,184018.82485640922,183991.669996341,184043.65215704704
RPP-H-1000050,-399129.704446881,-399083.92911133805,-399180.52282786736,183938.5240559222,183903.222737823,183975.37708029326
