"","folder","time_cat","meanACI","sdACI","minACI","maxACI","meanNDSI","sdNDSI","minNDSI","maxNDSI"
"13","AudioMoth_RPP-H-1000012b","afternoon",147.091894431151,11.19178111866,121.876451456584,219.796140588529,0.685292468717424,0.345060374322446,-0.479730087347252,0.998556026817899
"14","AudioMoth_RPP-H-1000012b","evening",148.240766903092,12.7215840197204,117.725433179631,177.649282549818,0.664113697009698,0.381161565886577,-0.718783081074581,0.996539375909514
"15","AudioMoth_RPP-H-1000012b","morning",148.179282706511,9.25166472520444,122.31503875203,172.420747391582,0.462734532878238,0.437567366962197,-0.329744907844963,0.998702067171764
"16","AudioMoth_RPP-H-1000013","afternoon",143.616414003941,8.07036358921744,120.390864303958,172.222912904947,0.724441616699612,0.31727689130744,-0.70202632424042,0.999406800415398
"17","AudioMoth_RPP-H-1000013","evening",144.436616204837,9.61871914472494,128.037726861146,166.615928112491,0.741082830623344,0.290037479787537,-0.449259292559633,0.997971133603563
"18","AudioMoth_RPP-H-1000013","morning",145.870458698108,7.15079724535971,124.936168732185,160.773790934941,0.508468148938844,0.385637980388091,-0.152457130214204,0.999291367126697
"19","AudioMoth_RPP-H-1000015","afternoon",149.746666693818,8.50456353229911,120.869152237325,176.782563010249,0.385869851555184,0.38064708829681,-0.766063917379177,0.998298609012416
"20","AudioMoth_RPP-H-1000015","evening",152.791797157148,10.3115523350441,130.936025050469,185.163185399862,0.406897046395375,0.382298574263316,-0.841608841532655,0.992076626905381
"21","AudioMoth_RPP-H-1000015","morning",149.475957418143,5.31141772313743,117.674179882915,158.660250738094,0.323543054775473,0.370446718201359,-0.422462426186358,0.997627908449292
"22","AudioMoth_RPP-H-1000016","evening",148.048463064323,9.93783568832045,123.691861854042,173.563518949466,0.379959022011161,0.454651024169529,-0.729476725543755,0.99587270520019
"23","AudioMoth_RPP-H-1000016","morning",148.965514720014,7.04913404842641,120.394103145397,169.370473266238,0.121400215508105,0.441686790835897,-0.825215652458777,0.997695748619773
"24","AudioMoth_RPP-H-1000016","afternoon",147.37799295552,8.07673666303762,121.190929456603,167.731324820068,0.383685229212918,0.441907286081899,-0.632177161432714,0.995872241284189
"25","AudioMoth_RPP-H-1000017","afternoon",142.723898215068,9.23624551293558,118.80205057695,176.403713678573,0.87418755065654,0.240935918871612,-0.503881190824488,0.999546226300613
"26","AudioMoth_RPP-H-1000017","evening",143.785223125878,9.98399260543508,115.671668654689,185.009398021163,0.889520385027006,0.212303746506498,-0.214711629933213,0.99931969402408
"27","AudioMoth_RPP-H-1000017","morning",148.911326009264,6.92169403180521,124.452683842769,171.948149838759,0.969951477606002,0.0527027662178806,0.567648067146285,0.999708482948402
"28","AudioMoth_RPP-H-1000019","morning",147.202829565356,9.81560069068468,120.332729281401,207.588249028919,0.845775663500896,0.225708430199672,-0.248294677332127,0.99974882149047
"29","AudioMoth_RPP-H-1000019","afternoon",143.036901592658,11.0829808586234,119.748447199004,175.311252791829,0.892339238086554,0.206411435137826,0.0447850479396199,0.999905046015326
"30","AudioMoth_RPP-H-1000019","evening",144.074277788022,13.5456486123244,116.091829565994,189.90618026578,0.91031917750084,0.178885497080046,0.0475035000999507,0.999749525505828
"31","AudioMoth_RPP-H-1000025","afternoon",148.635295155501,8.80364319079037,125.804640973789,198.839324366573,0.245783311571154,0.429409572983888,-0.815353113769917,0.992594326674551
"32","AudioMoth_RPP-H-1000025","evening",149.644862188651,10.3481002021033,125.536314053767,177.549858517988,0.393416202124402,0.410653571309829,-0.864589102123199,0.995534874824684
"33","AudioMoth_RPP-H-1000025","morning",151.751029805665,8.50600245829268,127.679275098401,197.117487900208,0.189375155063997,0.403275717168175,-0.919088705610649,0.988085128586076
"34","AudioMoth_RPP-H-1000058","afternoon",144.075356462262,10.3064057435559,115.610521813853,174.90550474042,0.618354993950754,0.399086672812601,-0.563460788696903,0.998700743121874
"35","AudioMoth_RPP-H-1000058","evening",145.009150898461,9.14992918097614,119.343090294118,169.036447341534,0.764460626394109,0.3109399218818,-0.758583908296905,0.996027015309741
"36","AudioMoth_RPP-H-1000058","morning",147.475866663984,7.26055191881716,121.549868549957,170.140786493784,0.397110049595385,0.415761336409991,-0.29270420974397,0.99827007223018
