"","Group","RUELLE_ID","lat_S1","lon_S1","lat_S2","lon_S2","lat_S3","lon_S3","lat_S4","lon_S4","lat_S5","lon_S5","lat_S6","lon_S6"
"20",5,"RPP-I-1000086",-73.5930647584448,45.5355862168406,-73.5926223633264,45.5353910683666,-73.5934711104053,45.5357691462317,NA,NA,NA,NA,NA,NA
"21",5,"RPP-H-1000040",-73.5952393701136,45.5374288088564,-73.5946446637854,45.5371536874864,-73.5957916860868,45.5376780176008,NA,NA,NA,NA,NA,NA
"22",5,"RPP-I-1000039",-73.5990698970044,45.5382714430216,-73.5983352135075,45.5379402674338,-73.5996480408446,45.5385298534374,NA,NA,NA,NA,NA,NA
"23",5,"RPP-I-1000073",-73.5996497864227,45.5375561798347,-73.5989681069847,45.5372573925907,-73.6003162739274,45.537852216592,NA,NA,NA,NA,NA,NA
"24",5,"RPP-J-1000084",-73.6024264929441,45.5397433968744,-73.6017345175725,45.5394416375095,-73.6031453281668,45.5400648272315,NA,NA,NA,NA,NA,NA
"25",6,"RPP-I-1000114",-73.6036693919473,45.538200124349,-73.6028046283766,45.5378124179349,-73.6043928131152,45.5385178158562,NA,NA,NA,NA,NA,NA
"26",6,"RPP-I-1000113",-73.6070851226953,45.5397145157562,-73.6062828616727,45.5393552422587,-73.6077725337259,45.5400199702179,NA,NA,NA,NA,NA,NA
"27",6,"RPP-I-1000023",-73.5951861043173,45.542148761804,-73.5944043896783,45.5417953824768,-73.5960746986194,45.5424267808977,NA,NA,NA,NA,NA,NA
"28",6,"RPP-I-1000087",-73.5912162046482,45.5403128738191,-73.5911027230825,45.5402631381436,-73.5913071424083,45.5403541822019,NA,NA,NA,NA,NA,NA
"29",7,"RPP-I-1000033",-73.6099172309815,45.5421264194381,-73.6090166490696,45.5417300420113,-73.610813577773,45.542530004718,NA,NA,NA,NA,NA,NA
"30",7,"RPP-H-1000076",-73.605097355013,45.5419393140449,-73.6044148844779,45.5416335964003,-73.6056953728053,45.5421967022584,NA,NA,NA,NA,NA,NA
"31",7,"RPP-H-1000104",-73.6044386349717,45.5426620301922,-73.6037406070826,45.5423500787347,-73.6050886145245,45.5429413490433,NA,NA,NA,NA,NA,NA
"32",7,"RPP-T-1000022",-73.6037502413234,45.5433371882526,-73.6029638485387,45.5429876061038,-73.6044913894039,45.5436820134131,NA,NA,NA,NA,NA,NA
"33",7,"RPP-T-1000081",-73.6029811702043,45.5440513766734,-73.6023157356261,45.5436677519036,-73.6037714796949,45.5443902575004,NA,NA,NA,NA,NA,NA
"34",8,"RPP-T-1000079",-73.6092607662423,45.5427720107185,-73.6085061497258,45.5424418980035,-73.6100309451673,45.5431083465974,NA,NA,NA,NA,NA,NA
"35",8,"RPP-H-1000080",-73.6086363977613,45.543489540721,-73.607986041282,45.5432067600108,-73.6092715592801,45.5437695727311,NA,NA,NA,NA,NA,NA
"36",8,"RPP-H-1000081",-73.607967105821,45.5442058013042,-73.6072336803097,45.5438886320633,-73.6086128748398,45.5444923128744,NA,NA,NA,NA,NA,NA
"37",8,"RPP-J-1000047",-73.6066698232233,45.5456537563832,-73.6059399343647,45.5453223937432,-73.6073375089204,45.5459601963902,NA,NA,NA,NA,NA,NA
"38",8,"RPP-L-1000048",-73.606226507004,45.5462922035542,-73.6055015626551,45.5459605916521,-73.607063182512,45.5466462612234,NA,NA,NA,NA,NA,NA
"39",9,"RPP-T-1000072",-73.591074745965,45.5426261917796,-73.5905948496966,45.5424048808695,-73.5914457945741,45.5428038781073,NA,NA,NA,NA,NA,NA
"40",9,"RPP-H-1000069",-73.5864221563234,45.5411586631353,-73.5858062569056,45.540870536365,-73.5870221644273,45.54143706887,NA,NA,NA,NA,NA,NA
"41",9,"RPP-H-1000089",-73.5865824598026,45.5405238426503,-73.5859884619502,45.5402556423998,-73.58708881768,45.5407613684775,NA,NA,NA,NA,NA,NA
"42",9,"RPP-H-1000003",-73.587399493927,45.5400385357361,-73.5873449765412,45.540090270206,-73.5874398583693,45.5399945077624,-73.5861177191416,45.5394747707879,-73.5860773716857,45.5395187789644,-73.5861634644195,45.5394304947526
"43",10,"RPP-I-1000105",-73.6006377904723,45.547092218878,-73.5997966035379,45.5466928088557,-73.6012807039984,45.5473999289397,NA,NA,NA,NA,NA,NA
"44",10,"RPP-I-1000101",-73.5965699081923,45.5460232858526,-73.5957817750983,45.5456562273766,-73.5972657895113,45.5463634070241,NA,NA,NA,NA,NA,NA
"45",10,"RPP-I-1000083",-73.5959846342401,45.5466862490954,-73.5951759924511,45.5463132015535,-73.5968568955769,45.5470981521151,NA,NA,NA,NA,NA,NA
"46",10,"RPP-I-1000052",-73.5935382403865,45.543775060291,-73.5927505133982,45.5434114615017,-73.5942591734816,45.5441174582222,NA,NA,NA,NA,NA,NA
"47",10,"RPP-I-1000053",-73.5930940768831,45.5444064839204,-73.5938825207141,45.5447770486643,-73.5924112960068,45.5440972033995,NA,NA,NA,NA,NA,NA
"48",11,"RPP-I-1000038",-73.5926596857867,45.5451354757572,-73.5917574383715,45.5447215260725,-73.593416685656,45.545490095756,NA,NA,NA,NA,NA,NA
"49",11,"RPP-L-1000099",-73.5916737911456,45.5466167753165,-73.5909535386331,45.5462813303818,-73.5922954430924,45.5469115868207,NA,NA,NA,NA,NA,NA
"50",11,"RPP-I-1000098",-73.5889334926625,45.5453380222601,-73.5885846814003,45.5451837376743,-73.5892221979037,45.5454882855128,NA,NA,NA,NA,NA,NA
"51",11,"RPP-H-1000025",-73.5871177684126,45.5444966020163,-73.5870138477624,45.5444554028651,-73.587208607062,45.544542987081,NA,NA,NA,NA,NA,NA
"52",11,"RPP-H-1000070",-73.5856711870697,45.5455524406772,-73.5856035541306,45.5456223339084,-73.5857480236096,45.5454750867878,-73.5865623103365,45.545199692222,-73.5864403897717,45.5451496365309,-73.5863173512796,45.5450884151792
"53",12,"RPP-T-1000026",-73.5797683760606,45.543393698648,-73.5791909748892,45.5431421484186,-73.5802574388093,45.5436075995545,NA,NA,NA,NA,NA,NA
"54",12,"RPP-H-1000044",-73.5806354638028,45.5514402950617,-73.5803127164525,45.5513477270435,-73.5809430093477,45.5515301134859,-73.5744967459493,45.545717447279,-73.5739171015017,45.5455430229384,-73.5749738938842,45.5458619227025
"55",12,"RPP-H-1000045",-73.5741573813362,45.5462175158546,-73.5735155361864,45.5460181520825,-73.5746956855733,45.5463764755197,NA,NA,NA,NA,NA,NA
"56",12,"RPP-T-1000063",-73.5708420956963,45.5465373866001,-73.5705603968764,45.5464567668607,-73.5710778445338,45.5466062706692,NA,NA,NA,NA,NA,NA
"57",12,"RPP-T-1000046",-73.5704790917531,45.5470876365572,-73.570792587892,45.5471876955436,-73.5701966946952,45.5470000464362,NA,NA,NA,NA,NA,NA
"58",13,"RPP-H-1000060",-73.5777112759798,45.5466298876103,-73.5771984112002,45.5464766873247,-73.5781933925949,45.546774102581,NA,NA,NA,NA,NA,NA
"59",13,"RPP-H-1000065",-73.5773734492385,45.5471824204611,-73.5768248777205,45.5470204807317,-73.5778661690511,45.5473331158276,NA,NA,NA,NA,NA,NA
"60",13,"RPP-H-1000005",-73.5769136537918,45.5477094734701,-73.5763385811284,45.5475313336386,-73.577477086333,45.5478706768802,NA,NA,NA,NA,NA,NA
"61",13,"RPP-H-1000043",-73.5763507192101,45.5488474682044,-73.5758530380273,45.5486970111716,-73.5768438004726,45.549001652653,NA,NA,NA,NA,NA,NA
"62",13,"RPP-H-1000059",-73.5759930579254,45.5494009745319,-73.5754593206164,45.5492382928669,-73.5765777047255,45.5495751405803,NA,NA,NA,NA,NA,NA
"63",14,"RPP-H-1000109",-73.5752763189851,45.5504940427316,-73.5747531716476,45.5503378369727,-73.575779315716,45.5506477415645,NA,NA,NA,NA,NA,NA
"64",14,"RPP-H-1000006",-73.572359455085,45.5489644648257,-73.5730161866318,45.5491630996258,-73.571682227799,45.5487598359978,NA,NA,NA,NA,NA,NA
"65",14,"RPP-H-1000094",-73.5719765834304,45.5502125840306,-73.5714636998022,45.5500593562583,-73.5724120670659,45.5503381212289,NA,NA,NA,NA,NA,NA
"66",14,"RPP-H-1000093",-73.5716515469193,45.5508940280003,-73.5711842640472,45.55074904887,-73.5720827802301,45.551026780747,NA,NA,NA,NA,NA,NA
"67",14,"RPP-H-1000090",-73.5715514863057,45.55153632645,-73.5712079050056,45.551434255394,-73.5718851659902,45.5516388861998,NA,NA,NA,NA,NA,NA
"68",14,"RPP-T-1000117",-73.5756240931263,45.549941030399,-73.5750295427862,45.5497673492259,-73.576163486289,45.5501104352215,NA,NA,NA,NA,NA,NA
"69",15,"RPP-H-1000066",-73.5787272083784,45.5502216060763,-73.5783217665141,45.5500981088599,-73.5791167526509,45.5503353834516,NA,NA,NA,NA,NA,NA
"70",15,"RPP-H-1000067",-73.5790742461217,45.5496616123619,-73.5787253626441,45.549556326643,-73.579464135419,45.5497788732424,NA,NA,NA,NA,NA,NA
"71",15,"RPP-H-1000015",-73.5794127679113,45.5491160461807,-73.5790525910471,45.5489973132706,-73.5798327097146,45.5492353187052,NA,NA,NA,NA,NA,NA
"72",15,"RPP-H-1000057",-73.5797753411427,45.5485622822982,-73.5793649588092,45.5484390340838,-73.5801602724609,45.548679786121,NA,NA,NA,NA,NA,NA
"73",15,"RPP-H-1000088",-73.5801128023898,45.5480062584499,-73.5804715803331,45.5481110491025,-73.5797741788518,45.5479039699648,NA,NA,NA,NA,NA,NA
"74",16,"RPP-H-1000016",-73.5804340087652,45.5474370300774,-73.5800398812624,45.5473269870374,-73.5807941778064,45.547555758532,NA,NA,NA,NA,NA,NA
"75",16,"RPP-H-1000027",-73.5834447395543,45.5476905185804,-73.5829374953804,45.5475440711895,-73.5838862274411,45.5478262163611,NA,NA,NA,NA,NA,NA
"76",16,"RPP-H-1000041",-73.5829634541464,45.5482011566463,-73.5825226629366,45.5480724243855,-73.5833642898343,45.5483283662027,NA,NA,NA,NA,NA,NA
"77",16,"RPP-H-1000068",-73.5825648650702,45.5487427116125,-73.582103219433,45.5486045054331,-73.5830003622477,45.5488682042982,NA,NA,NA,NA,NA,NA
"78",16,"RPP-H-1000056",-73.5822217770752,45.5492920187257,-73.5826169707737,45.5494125069766,-73.5818626385,45.5491837497637,NA,NA,NA,NA,NA,NA
"79",17,"RPP-H-1000014",-73.5808686514815,45.5641123382807,-73.5815759637644,45.5643338685344,-73.5801617324391,45.5638946713552,-73.5817461128963,45.5498093732924,-73.582032450571,45.5498862316772,-73.5814025228077,45.5497073359729
"80",17,"RPP-I-1000054",-73.5834537646575,45.5503655795029,-73.5835440704887,45.5502735528895,-73.5833552998864,45.5504755203394,NA,NA,NA,NA,NA,NA
