RUELLE_ID,Uniq_S_ID,lat,long,Group_S_ID
RPP-L-1000037,101,-397258.7830789673,185739.66713165614,RPP-L-1000037_2
RPP-L-1000037,102,-397314.644505394,185782.33905462487,RPP-L-1000037_3
RPP-L-1000048,283,-398774.363706552,185512.342160215,RPP-L-1000048_1
RPP-L-1000048,284,-398720.4419129862,185471.60987011687,RPP-L-1000048_2
RPP-L-1000048,285,-398836.8198847096,185556.17786290284,RPP-L-1000048_3
RPP-L-1000051,322,-398847.8757920249,184377.6569358962,RPP-L-1000051_1
RPP-L-1000051,323,-398794.729851605,184338.08842551507,RPP-L-1000051_2
RPP-L-1000051,324,-398895.590760432,184413.7341071299,RPP-L-1000051_3
RPP-L-1000099,221,-397637.2054503543,185468.11853097158,RPP-L-1000099_1
RPP-L-1000099,222,-397583.67158336245,185426.9983142846,RPP-L-1000099_2
RPP-L-1000099,223,-397683.36871247087,185504.1957021975,RPP-L-1000099_3
RPP-T-1000004,366,-399916.2255724425,183955.59282510233,RPP-T-1000004_1
RPP-T-1000004,367,-399882.0880340705,183930.37759789833,RPP-T-1000004_2
RPP-T-1000004,368,-399947.64762480784,183979.64427259713,RPP-T-1000004_3
RPP-T-1000022,307,-398604.4518678373,185171.35470306178,RPP-T-1000022_1
RPP-T-1000022,308,-398545.87495540304,185128.29485352474,RPP-T-1000022_2
RPP-T-1000022,309,-398659.53744111845,185213.63869945865,RPP-T-1000022_3
RPP-T-1000024,248,-398186.80042181414,185906.66952108106,RPP-T-1000024_1
RPP-T-1000024,249,-398171.4773222046,185896.00154033693,RPP-T-1000024_2
RPP-T-1000024,250,-398200.37785184913,185917.14353853467,RPP-T-1000024_3
RPP-T-1000024,251,-398217.8345476071,185914.8159791021,RPP-T-1000024_4
RPP-T-1000024,252,-398201.7355948518,185937.31572029885,RPP-T-1000024_5
RPP-T-1000026,199,-396734.11238978605,185045.66649360512,RPP-T-1000026_1
RPP-T-1000026,200,-396691.05254024797,185014.63236781477,RPP-T-1000026_2
RPP-T-1000026,201,-396770.57748759305,185072.04550052117,RPP-T-1000026_3
RPP-T-1000028,91,-397872.288953232,186210.99791714243,RPP-T-1000028_1
RPP-T-1000028,92,-397811.3844813641,186164.44672845016,RPP-T-1000028_2
RPP-T-1000028,93,-397930.09001252,186255.22154640072,RPP-T-1000028_3
RPP-T-1000046,172,-395981.0499310956,185403.91668323326,RPP-T-1000046_1
