RUELLE_ID,PROPRIETAI,Length,L1,X_1,X_2,X_3,Y_1,Y_2,Y_3,geometry
PMR-H-1000020,Plateau - Mont-Royal,345.12805221328216,14,-396820.6671058483,-396875.5693763775,-396806.72763360065,183132.505090235,183180.2903710463,183128.27811046893,"c(-396790.515982643, -396774.145231845, -396813.60939289, -396854.708164073, -396882.43263328, -396880.463816308, -396878.494999466, -396857.205886378, -396817.05163418, -396771.338540692, -396772.741886231, -396770.803489236, -396768.865092127, -396787.161484971, -396788.838733851, -396790.515982643, 183074.774673029, 183097.750848157, 183127.269018424, 183157.7599322, 183178.442237665, 183180.465841967, 183182.489446399, 183166.487260724, 183136.235872449, 183101.0001211, 183099.375484593, 183097.939147406, 
183096.502810313, 183072.214696553, 183073.494684749, 183074.774673029)"
PMR-H-1000024,Plateau - Mont-Royal,333.9214044862863,15,-396331.3899150079,-396265.0264556348,-396330.5506554365,183403.24260605668,183352.91184264215,183395.81671073823,"c(-396396.906145864, -396395.266792198, -396393.627438638, -396393.568431429, -396393.50942421, -396335.47977915, -396293.896015156, -396265.03033806, -396264.970228299, -396264.910118534, -396266.802884259, -396268.695650116, -396268.755725295, -396268.815800481, -396396.906145864, 183446.47160106, 183448.536504251, 183450.601407564, 183450.555245016, 183450.509082462, 183406.320608228, 183375.024968223, 183353.138070465, 183353.093334043, 183353.048597634, 183350.823639652, 183348.598681831, 183348.643916653, 
183348.689151487, 183446.47160106)"
PMR-H-1000033,Plateau - Mont-Royal,481.2900116136774,16,-396681.35448424367,-396585.7883493606,-396679.29660897935,183776.57727090354,183703.47453573006,183767.8995548196,"c(-396775.140710252, -396774.786882019, -396771.092256951, -396770.944929637, -396726.709831228, -396675.733617864, -396630.27124005, -396601.412699895, -396585.376527219, -396585.317555026, -396585.258582834, -396586.945136939, -396588.631691156, -396588.691765686, -396588.751840229, -396609.093305783, -396653.752921562, -396687.958916718, -396719.693610717, -396758.341668171, -396775.140710252, 183840.637555172, 183841.090097164, 183845.935956774, 183846.119732841, 183811.079409203, 183772.301437466, 
183737.095995296, 183715.43398997, 183703.159311872, 183703.112650542, 183703.065989193, 183700.855765204, 183698.645541366, 183698.690776767, 183698.736012171, 183714.795881551, 183748.551754668, 183774.460729651, 183798.277067327, 183828.071084332, 183840.637555172)"
PMR-H-1000047,Plateau - Mont-Royal,100.25674642357723,17,-397155.6029393115,-397139.6040784776,-397154.34367997805,183224.7985689528,183238.50012273272,183218.9620001912,"c(-397170.440807808, -397157.523389049, -397156.703035098, -397155.882681179, -397143.221723863, -397141.18058574, -397139.139447502, -397152.022613326, -397153.198384134, -397167.322498926, -397168.8816534, -397170.440807808, 183204.606876487, 183221.870983168, 183223.149487357, 183224.427991568, 183241.200112566, 183239.676731489, 183238.153350543, 183221.950113496, 183220.436439845, 183202.253229771, 183203.430053099, 183204.606876487)"
PMR-H-1000062,Plateau - Mont-Royal,311.41495356912833,18,-396554.63769820856,-396603.38882142224,-396541.5767229752,183480.48209700148,183522.65346733454,183475.32002609738,"c(-396522.820748892, -396509.79439799, -396542.766149952, -396586.164988226, -396609.49899473, -396608.365906333, -396607.232818003, -396569.025126137, -396533.957640117, -396507.905200984, -396508.849799465, -396506.71335069, -396504.576901781, -396518.943450436, -396520.882099715, -396522.820748892, 183429.172621005, 183446.026113484, 183471.529997541, 183504.256202102, 183522.225184729, 183523.915322732, 183525.605460803, 183496.263900669, 183469.506459647, 183449.278975878, 183447.652544644, 
183445.958254279, 183444.26396402, 183426.209636389, 183427.691128636, 183429.172621005)"
PMR-H-1000070,Plateau - Mont-Royal,322.08019486390896,19,-397063.04567291244,-397067.2858824381,-397047.6769121726,183955.66462858,183973.04907667765,183951.9003082864,"c(-397037.703447231, -397021.086089354, -397069.569004202, -397086.033196609, -397088.38899064, -397090.744784505, -397072.204999298, -397053.012484137, -397050.686139775, -397048.359795268, -397065.713029854, -397036.06913749, -397017.154274952, -397019.120182081, -397017.482866307, -397015.845550461, -397034.660411626, -397036.181889378, -397037.703447231, 183901.481682849, 183923.837516021, 183960.612694829, 183938.483369033, 183940.359589277, 183942.235809672, 183966.599772177, 183991.762495067, 
183989.984055041, 183988.205615142, 183965.704037982, 183943.016434999, 183928.620757356, 183926.229136603, 183924.985178031, 183923.741219518, 183899.059577694, 183900.270598338, 183901.481682849)"
PMR-H-1000077,Plateau - Mont-Royal,111.93039404961468,20,-396974.8483936926,-396960.63935410575,-396943.3367954364,184492.68072399328,184514.31982118028,184533.89751054003,"c(-396957.481706223, -396958.857552103, -396973.266482407, -396974.914701731, -396976.562920982, -396960.421678123, -396944.846084954, -396943.254194947, -396941.662304874, -396956.096293174, -396957.402319295, -396957.481706223, 184512.137922624, 184510.337421025, 184491.481176809, 184492.731004702, 184493.98083269, 184514.597856205, 184535.066172007, 184533.833551963, 184532.600931971, 184513.931107329, 184512.241812379, 184512.137922624)"
PMR-I-1000002,Plateau - Mont-Royal,411.7398957448761,21,-396471.60473620147,-396389.8694200932,-396470.4442639943,183251.23541738396,183189.23336449964,183244.04988066797,"c(-396552.354680733, -396550.74432142, -396549.133962213, -396517.594274758, -396483.794465175, -396447.562793814, -396389.784836243, -396389.72472638, -396389.664616507, -396391.320399251, -396392.976182111, -396393.035688933, -396393.095195764, -396435.587016312, -396460.695441209, -396498.871451777, -396540.924028029, -396552.354680733, 183306.388794077, 183308.488084089, 183310.587374225, 183285.891918418, 183260.403160792, 183233.153771818, 183189.614693858, 183189.569957416, 183189.525220979, 
183187.165638654, 183184.806056499, 183184.852253522, 183184.898450524, 183217.708987251, 183236.663579755, 183265.588046628, 183297.816439404, 183306.388794077)"
PMR-I-1000005,Plateau - Mont-Royal,366.9745116437317,22,-396157.076551166,-396084.01281374745,-396156.85388626414,182743.3298504757,182687.8549401835,182736.52166572452,"c(-396230.565807916, -396229.278612055, -396227.991416261, -396212.051282833, -396165.037293588, -396122.970075699, -396083.904410171, -396085.112997882, -396086.321585651, -396125.284723998, -396197.647607641, -396230.565807916, 182791.139579101, 182792.841424647, 182794.543270287, 182783.286292107, 182749.219693132, 182718.095800254, 182687.770791113, 182686.173008713, 182684.575226403, 182712.855362029, 182767.103300765, 182791.139579101)"
PMR-I-1000007,Plateau - Mont-Royal,592.7860127827732,23,-396549.37474326836,-396431.24096649274,-396548.67855728004,182342.38186128912,182253.08745887288,182336.90013943915,"c(-396667.066234174, -396665.900158371, -396664.734082622, -396604.407162653, -396567.257056771, -396513.4564273, -396468.505752108, -396431.174466338, -396432.367996946, -396433.561631001, -396495.064887581, -396558.905836263, -396615.372767359, -396667.066234174, 182426.038145153, 182427.579351174, 182429.120557247, 182383.873588138, 182355.737412763, 182315.555974487, 182281.363361841, 182253.177965928, 182251.553564579, 182249.929022575, 182296.480509433, 182344.61053932, 182386.530445705, 182426.038145153
)"
